serialNumber ,serialNumberRequests,cleanliness ,quality ,reliability ,userText 
1,1,5,4,3,I love the vibrant colors of this dress! It's perfect for summer.
2,4,1,3,2,These jeans fit me like a glove. So comfortable!
3,11,4,4,1,The intricate embroidery on this top is stunning.
4,19,3,3,4,I can't get enough of this cozy sweater. It's so warm and stylish.
5,24,4,4,3,This skirt has such a fun and flirty silhouette.
6,25,3,1,1,The material of this shirt is so soft and breathable.
7,28,5,3,3,I'm obsessed with the unique pattern on these leggings.
8,32,5,2,2,This blazer adds a touch of sophistication to any outfit.
9,36,4,2,3,The detailing on this jacket is edgy and cool.
10,42,5,5,3,I feel like a princess in this elegant evening gown.
11,48,5,4,1,These shoes are not only stylish but also surprisingly comfortable.
12,50,4,3,3,I love the versatility of this jumpsuit. It can be dressed up or down.
13,52,5,2,5,This hat completes my summer look perfectly.
14,56,4,4,5,The quality of this leather jacket is outstanding.
15,67,5,2,2,I feel so confident in this tailored suit.
16,68,2,1,4,This scarf adds a pop of color to my neutral outfits.
17,71,1,3,4,"These boots are made for walking, and they look fabulous too!"
18,72,1,2,3,I'm in love with the vintage-inspired design of this dress.
19,83,4,3,4,The cutouts on this top add a trendy twist.
20,87,4,4,2,These shorts are so lightweight and ideal for hot weather.
21,89,1,3,3,I can't resist the charm of this polka dot print.
22,94,1,3,4,This handbag is not only stylish but also practical with its multiple compartments.
23,96,3,3,4,I feel like a rockstar in this leather jacket.
24,98,1,4,1,The fit of these pants is incredibly flattering.
25,103,2,3,4,This blouse has such delicate and feminine details.
26,111,4,4,2,I adore the bohemian vibes of this flowy maxi dress.
27,112,1,1,4,The ruffles on this blouse give it a romantic touch.
28,117,3,1,2,I can't get enough of these high-waisted jeans. They accentuate my curves.
29,118,4,3,2,"This hoodie is so cozy, I never want to take it off."
30,125,3,1,5,I feel like a trendsetter in this statement piece.
31,128,3,5,2,The material of this t-shirt feels luxurious against my skin.
32,129,1,5,2,This dress hugs my body in all the right places.
33,131,1,3,5,"I'm loving the athleisure trend, and these joggers are a must-have."
34,132,1,5,1,This cardigan is perfect for layering during the colder months.
35,137,1,2,3,I'm obsessed with the retro vibes of this vintage-inspired dress.
36,139,4,2,4,These sunglasses add a touch of glamour to any outfit.
37,145,2,3,3,I feel so elegant in this lace dress. It's perfect for special occasions.
38,148,1,5,1,This shirt dress is effortlessly chic and comfortable.
39,154,5,2,3,The color palette of this sweater is so calming and soothing.
40,156,1,4,5,I can't resist the softness of this cashmere scarf.
41,158,5,2,3,These leggings have the perfect amount of compression for my workouts.
42,167,4,5,4,I love the distressed details on these jeans. They give them a cool edge.
43,168,1,5,3,This blazer instantly elevates any outfit and makes me feel empowered.
44,170,1,1,1,The floral print on this skirt is so vibrant and cheerful.
45,175,5,5,2,I can't get enough of this off-the-shoulder top. It's so trendy!
46,178,5,2,3,These boots are a classic staple in my wardrobe.
47,179,2,3,3,This dress is perfect for a summer garden party.
